,code_agb,groupe_aliment,sous_groupe_aliment,nom_produit,lci_name,code_saison,code_avion,kg_CO2_eq,Pt_utilisation_sol_eq,m3_consommation_eau_eq,mol_acidification_kg_eq,groupe_aliment_color
0,11084,aides culinaires et ingrédients divers,algues,"Agar (algue), cru","Seaweed, agar, raw",2,0,6.75,24.7,3.08,0.0997,#D35400
1,11023,aides culinaires et ingrédients divers,herbes,"Ail séché, poudre","Garlic, powder, dried",2,0,0.75,20.5,2.59,0.00625,#D35400
2,11000,aides culinaires et ingrédients divers,herbes,"Ail, cru","Garlic, fresh",2,0,0.358,18.9,3.1,0.00204,#D35400
3,11093,aides culinaires et ingrédients divers,herbes,"Aneth, frais","Dill, fresh",2,0,0.813,36.3,5.29,0.00811,#D35400
4,20995,aides culinaires et ingrédients divers,algues,"Ao-nori (Enteromorpha sp.), séchée ou déshydratée","Sea lettuce (Enteromorpha sp.), dried or dehydrated",2,0,6.75,24.7,3.08,0.0997,#D35400
5,20998,aides culinaires et ingrédients divers,algues,"Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté","North Atlantic rockweed (Ascophyllum nodosum), dried or dehydrated",2,0,6.56,24.2,3.08,0.0942,#D35400
6,37000,aides culinaires et ingrédients divers,ingrédients divers,Base de pizza à la crème,cream sauce for pizza base,2,0,1.96,95.0,0.449,0.0193,#D35400
7,37002,aides culinaires et ingrédients divers,ingrédients divers,Base de pizza tomatée,Tomato sauce for pizza base,2,0,0.718,63.8,3.86,0.008,#D35400
8,11033,aides culinaires et ingrédients divers,herbes,"Basilic, frais","Basil, fresh",2,0,0.813,36.3,5.29,0.00811,#D35400
9,11032,aides culinaires et ingrédients divers,herbes,"Basilic, séché","Basil, dried",2,0,1.55,138.0,19.9,0.0307,#D35400
10,11507,aides culinaires et ingrédients divers,ingrédients divers,Bicarbonate de soude,Sodium bicarbonate,2,0,1.13,15.9,2.01,0.0153,#D35400
11,11025,aides culinaires et ingrédients divers,épices,"Cannelle, poudre","Cinnamon, powder",2,0,8.15,697.0,18.4,0.0888,#D35400
12,11075,aides culinaires et ingrédients divers,épices,"Cardamome, poudre","Cardamom, powder",2,0,8.15,697.0,18.4,0.0888,#D35400
13,11064,aides culinaires et ingrédients divers,épices,"Carvi, graine","Caraway, seed",2,0,8.15,697.0,18.4,0.0888,#D35400
14,11002,aides culinaires et ingrédients divers,herbes,"Cerfeuil, frais","Chervil, fresh",2,0,0.813,36.3,5.29,0.00811,#D35400
15,11003,aides culinaires et ingrédients divers,herbes,"Ciboule ou Ciboulette, fraîche","Chive or spring onion, fresh",2,0,0.677,20.1,3.37,0.00295,#D35400
16,11052,aides culinaires et ingrédients divers,épices,Clou de girofle,Cloves,2,0,8.14,696.0,18.3,0.0887,#D35400
17,11094,aides culinaires et ingrédients divers,herbes,"Coriandre, fraiche","Coriander, fresh",2,0,0.967,12.7,1.45,0.00569,#D35400
